

                                                                           1


             1   Q.     On page 1 line 2, item 1001, what happened next?

             2   A.     Nothing unusual on page 1, ref 1001, about 2 minutes.

             3   Q.     On page 1 line 4, item 1002, what happened next?

             4   A.     Nothing unusual on page 1, ref 1002, about 3 minutes.

             5   Q.     On page 1 line 6, item 1003, what happened next?

             6   A.     Nothing unusual on page 1, ref 1003, about 4 minutes.

             7   Q.     On page 1 line 8, item 1004, what happened next?

             8   A.     Nothing unusual on page 1, ref 1004, about 5 minutes.

             9   Q.     On page 1 line 10, item 1005, what happened next?

            10   A.     Nothing unusual on page 1, ref 1005, about 6 minutes.

            11   Q.     On page 1 line 12, item 1006, what happened next?

            12   A.     Nothing unusual on page 1, ref 1006, about 7 minutes.

            13   Q.     On page 1 line 14, item 1007, what happened next?

            14   A.     Nothing unusual on page 1, ref 1007, about 8 minutes.

            15   Q.     On page 1 line 16, item 1008, what happened next?

            16   A.     Nothing unusual on page 1, ref 1008, about 9 minutes.

            17   Q.     On page 1 line 18, item 1009, what happened next?

            18   A.     Nothing unusual on page 1, ref 1009, about 10 minutes.

            19   Q.     On page 1 line 20, item 1010, what happened next?

            20   A.     Nothing unusual on page 1, ref 1010, about 11 minutes.

            21   Q.     On page 1 line 22, item 1011, what happened next?

            22   A.     Nothing unusual on page 1, ref 1011, about 12 minutes.

            23   Q.     On page 1 line 24, item 1012, what happened next?

            24   A.     Nothing unusual on page 1, ref 1012, about 13 minutes.

            25   Q.     On page 1 line 26, item 1013, what happened next?



                                                                           2


             1   Q.     On page 2 line 2, item 1014, what happened next?

             2   A.     Nothing unusual on page 2, ref 1014, about 16 minutes.

             3   Q.     On page 2 line 4, item 1015, what happened next?

             4   A.     Nothing unusual on page 2, ref 1015, about 0 minutes.

             5   Q.     On page 2 line 6, item 1016, what happened next?

             6   A.     Nothing unusual on page 2, ref 1016, about 1 minutes.

             7   Q.     On page 2 line 8, item 1017, what happened next?

             8   A.     Nothing unusual on page 2, ref 1017, about 2 minutes.

             9   Q.     On page 2 line 10, item 1018, what happened next?

            10   A.     Nothing unusual on page 2, ref 1018, about 3 minutes.

            11   Q.     On page 2 line 12, item 1019, what happened next?

            12   A.     Nothing unusual on page 2, ref 1019, about 4 minutes.

            13   Q.     On page 2 line 14, item 1020, what happened next?

            14   A.     Nothing unusual on page 2, ref 1020, about 5 minutes.

